Дата,Заражений,Выздоровлений,Смертей,госпитализированы,госпитализированы
02-03-2020,7,3,,,
03-03-2020,7,4,,,
04-03-2020,7,4,,,
05-03-2020,11,4,,,
06-03-2020,11,4,,,
07-03-2020,14,4,,,
08-03-2020,14,4,,,
09-03-2020,17,4,,,
10-03-2020,20,4,,,
11-03-2020,28,4,,,
12-03-2020,34,4,,,
13-03-2020,45,4,,,
14-03-2020,59,4,,,
15-03-2020,63,4,,,
16-03-2020,93,4,,,
17-03-2020,114,4,,,
18-03-2020,147,6,,,
19-03-2020,199,9,,,
20-03-2020,251,10,,,
21-03-2020,306,18,,,
22-03-2020,367,18,,,
23-03-2020,438,20,,,
24-03-2020,503,24,,,
25-03-2020,666,36,2,,
26-03-2020,845,39,2,,
27-03-2020,1040,47,4,,
28-03-2020,1265,64,7,,
29-03-2020,1534,67,9,,
30-03-2020,1840,75,16,,
31-03-2020,2337,142,20,,
01-04-2020,2780,207,27,,
02-04-2020,3548,254,31,,
03-04-2020,4150,301,35,,
04-04-2020,4734,355,43,,
05-04-2020,5410,395,47,,
06-04-2020,6351,429,51,,
07-04-2020,7517,505,61,,
08-04-2020,8678,598,74,,
09-04-2020,10145,711,79,,
10-04-2020,11929,804,95,,
11-04-2020,13612,1054,108,,
12-04-2020,15806,1293,132,,
13-04-2020,18352,1473,150,,
14-04-2020,21160,1709,173,,
15-04-2020,24567,2006,201,,
16-04-2020,28005,2317,238,,
17-04-2020,32084,2609,275,,
18-04-2020,36932,3081,313,,
19-04-2020,42983,3303,363,,
20-04-2020,47302,3457,409,,
21-04-2020,52937,3906,462,,
22-04-2020,58119,4431,516,,
23-04-2020,62886,4907,556,,
24-04-2020,68766,5589,617,,
25-04-2020,74788,6311,682,,
26-04-2020,81079,6781,749,,
27-04-2020,87336,7369,797,,
28-04-2020,93678,8518,871,,
29-04-2020,99596,10293,976,,
